merchant,img_url,name,fruit,fruit_theme,category,color
666,https://live.staticflickr.com/65535/48960934177_f0b975e6f7.jpg,You're One in a Melon Watermlon Card,watermelon,,cards,green
171717,https://live.staticflickr.com/65535/48960748931_29342cde2e_m.jpg,I Love You Berry Much Card,strawberry,berry,cards,red
111,https://live.staticflickr.com/65535/48960748971_d9f7c72310.jpg,"If You Were A Fruit, You'd By Fine-Apple Card",pineapple,tropical,cards,yellow
333,https://live.staticflickr.com/65535/48960731446_bc33f35083_n.jpg,Yellow Pineapple Fanta,pineapple,tropical,drinks,yellow
151515,https://live.staticflickr.com/65535/48960731466_acd78c02ce.jpg,Yellow Pineapple Fanta Glass Bottle,pineapple,tropical,drinks,yellow
141414,https://live.staticflickr.com/65535/48960915992_6b963dfa8c_o.jpg,Yellow Pineapple Iphone,pineapple,tropical,misc,yellow
101010,https://live.staticflickr.com/65535/48960181608_49af5d30ba_o.jpg,Watermelon Purse Tote,watermelon,,bags,"green,pink"
222,https://live.staticflickr.com/65535/48960731521_0d8d9aabfc_o.jpg,Watermlone Eraser,watermelon,,office,"green,pink"
999,https://live.staticflickr.com/65535/48960731546_b991f5fc22_o.png,Fruit Shoot Tropical Pineapple Drink,pineapple,tropical,drinks,yellow
121212,https://live.staticflickr.com/65535/48960731791_fd4bafd0c6.jpg,Stuffed Strawberry Key Chain,strawberry,berry,"accessories,toys",red
121212,https://live.staticflickr.com/65535/48960916072_74876b97e7.jpg,Redd's Wicked Apple Cider,apple,,drinks,red
101010,https://live.staticflickr.com/65535/48960879391_054aa0599f_o.jpg,Red Apple Iphone,apple,,misc,red
555,https://live.staticflickr.com/65535/48960916017_6a990f83ea_o.jpg,Watermelon Sponge,watermelon,,kitchen,"red,green"
131313,https://live.staticflickr.com/65535/48960181728_eeda5e43bf_o.jpg,Citrus Orange Sponge,orange,citrus,kitchen,"yellow,orange"
111111,https://live.staticflickr.com/65535/48960916182_f58891fd9c.jpg,Orange Fanta Drink,orange,citrus,drinks,orange
242424,https://live.staticflickr.com/65535/48960916217_040376b8cf_o.png,Apple Kiwi Drink,"apple,kiwi",,drinks,green
252525,https://live.staticflickr.com/65535/48960181768_f0f70f4acd.jpg,Green Mango Fizz Fanta Drink,mango,tropical,drinks,green
191919,https://live.staticflickr.com/65535/48960181793_072afd2388_o.jpg,Grape Sponge,grape,,sponges,purple
111111,https://live.staticflickr.com/65535/48960181808_24e66b678d_o.jpg,Grape Purple Fanta,grape,,drinks,purple
222,https://live.staticflickr.com/65535/48960731726_32509002fd_o.jpg,Fruit Pencil Cases,"dragonfruit,orange,watermelon",,office,
141414,https://live.staticflickr.com/65535/48960181858_56d7e3ab31_o.jpg,Blueberry Blackberry Drink,,berry,drinks,"blue,purple"
333,https://live.staticflickr.com/65535/48960181878_eddd5cae33_o.jpg,Blue Berry Iphone,,berry,misc,blue
131313,https://live.staticflickr.com/65535/48960181923_4a2b33d88f_n.jpg,Apple Snapple Drink,apple,,drinks,red
222,https://live.staticflickr.com/65535/48960620502_b9b690a4a6_o.jpg,Watermelon Word Melon Game,watermelon,,games,pink
141414,https://live.staticflickr.com/65535/48960434341_6493066856_o.jpg,Citrust Orange Bedding,orange,citrus,bedding,orange
111,https://live.staticflickr.com/65535/48960434356_dbe553616c_o.jpg,Watermelon Stuffed Friend,watermelon,,toys,"red,green"
555,https://live.staticflickr.com/65535/48960620582_25f04a8b84_b.jpg,Watermelon Notebook,watermelon,,books,red
111111,https://live.staticflickr.com/65535/48960620617_49a705ba30_o.jpg,Watermelon Vans,watermelon,,shoes,red
111,https://live.staticflickr.com/65535/48960620627_da27818ec6_o.jpg,Watermelon Gold Chain Purse,watermelon,,bags,red
222222,https://live.staticflickr.com/65535/48960434466_170b615f30_o.jpg,Watermelon Planner,watermelon,,office,"green,red"
212121,https://live.staticflickr.com/65535/48959883983_630aa86ff3_o.jpg,Watermelon Head Doll,watermelon,,toys,green
181818,https://live.staticflickr.com/65535/48959884003_9dbb77cff1_o.jpg,Watermelon Swivel Chair,watermelon,,furniture,"green,red"
131313,https://live.staticflickr.com/65535/48960434531_6060464d43_o.jpg,Banana Apeeling Card,banana,tropical,cards,yellow
212121,https://live.staticflickr.com/65535/48960434556_e65a8528d9_o.jpg,Stuffed Grapes Toy,grapes,,toys,purple
444,https://live.staticflickr.com/65535/48960620817_c8042f0bff_b.jpg,Pineapple Pants,pineapple,tropical,clothing,"pink,yellow"
101010,https://live.staticflickr.com/65535/48960620827_3fff7cda99_o.jpg,Giant Strawberry,strawberry,berry,misc,red
181818,https://live.staticflickr.com/65535/48959884103_05236062df.jpg,Strawberry High Tops,strawberry,berry,shoes,red
